"","one","Two","Three","Four","Five","Six","Seven","Eight","Nine","Ten","Eleven","Twelve","Thirteen","Fourteen","Fifteen","Sixteen","Seventeen","Eighteen","Nineteen","Twenty","Twenty.one","twenty.two","Twenty.three"
"127",5,4,5,5,5,4,3,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,4
"128",5,5,5,4,5,3,4,4,5,4,4,4,5,4,4,5,5,5,5,5,4,4,4
"129",5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"130",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"131",5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"132",4,5,4,5,5,5,4,3,3,4,5,2,4,4,4,4,4,5,5,4,5,4,5
"133",5,4,4,5,3,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
"134",4,3,3,4,5,5,3,3,2,4,4,2,3,4,4,4,4,4,5,3,4,4,5
"135",4,5,4,5,4,5,4,4,3,4,5,2,4,4,3,4,5,5,5,4,5,3,5
"136",4,5,4,4,5,5,4,4,3,5,5,2,4,4,4,4,5,5,5,4,4,4,5
"137",4,5,5,4,5,5,4,4,2,4,4,2,4,4,4,5,4,5,4,3,4,4,5
"138",4,5,4,5,4,5,3,4,4,4,5,2,4,4,3,4,4,4,5,3,4,4,5
"139",4,4,5,5,4,3,3,4,5,4,4,3,4,5,4,4,4,4,4,4,4,5,4
"140",5,4,5,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,3,4,5,4,4
"141",4,4,4,5,5,5,2,4,5,2,4,4,4,4,4,5,4,5,5,4,5,4,4
"142",4,5,4,4,5,3,5,5,4,4,4,4,4,4,4,4,4,5,5,4,5,4,4
"143",4,4,4,4,4,3,3,4,5,4,4,4,4,4,4,4,4,4,4,4,5,5,4
"144",4,5,4,4,4,3,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4
"145",5,4,4,4,4,3,4,4,5,4,4,4,3,4,4,4,4,4,4,4,4,5,4
"146",4,4,4,4,5,3,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4
"147",5,4,4,4,4,3,4,4,3,5,4,2,5,4,4,4,4,4,4,4,4,5,4
"148",4,5,4,4,4,2,3,4,3,5,4,5,4,4,4,4,4,4,4,4,5,4,5
"149",4,4,4,4,4,3,2,4,5,4,4,4,4,4,5,4,4,4,4,4,5,5,4
"150",4,4,4,4,4,4,3,4,5,4,4,3,4,4,4,4,4,4,4,4,4,5,4
"151",4,4,4,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4
"152",5,4,4,4,4,4,5,4,3,4,2,4,5,5,5,5,5,5,4,4,4,4,4
"153",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"154",5,4,4,4,3,4,4,4,3,4,4,2,4,5,5,4,5,5,5,2,4,4,4
"155",5,4,4,4,4,4,4,4,3,5,5,2,4,4,4,5,5,4,5,3,3,4,4
"156",5,5,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4
"157",5,4,3,4,4,4,4,3,5,4,4,2,4,5,4,4,4,4,4,4,3,4,4
"158",5,4,4,4,4,4,4,4,5,4,4,2,4,4,4,5,4,5,4,3,4,3,4
"159",4,4,4,5,5,5,4,4,2,4,4,2,3,4,4,5,4,5,5,4,4,4,5
"160",5,5,4,5,4,2,3,5,2,5,4,4,4,5,3,5,5,5,5,5,5,4,4
"161",5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"162",5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"163",5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"164",5,5,5,5,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5
"165",5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"166",5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
